  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      13	   7.000	   0.000	  0.8319	0.062734	 0.00632	 0.19751	-0.039112	  0.8333	0.006324	-0.00102	-0.01082	-0.00070	0.062734	-0.006324	0.831858	-0.00213	-0.02103	-0.00058	    8.75	   -0.79	  105.62	   -0.37	   -0.25	   -0.10	  231.81	 1011.48	   19.54	   1.204	   541.5	   29.99	2.556E+5	   0.087
      14	   8.000	   0.000	  0.8887	0.069342	 0.00516	 0.22899	-0.055014	  0.8897	0.005161	-0.00116	 0.00656	-0.00087	0.069342	-0.005161	0.888689	-0.00212	-0.00472	-0.00071	    9.55	   -0.65	  112.79	   -0.37	    0.07	   -0.12	  231.84	 1011.45	   19.54	   1.204	   541.6	   30.00	2.556E+5	   0.087
      15	   9.000	   0.000	  0.9256	0.078712	 0.00557	 0.25529	-0.067047	  0.9265	0.005567	-0.00067	 0.02367	-0.00113	0.078712	-0.005567	0.925568	-0.00174	 0.01087	-0.00104	   10.70	   -0.70	  117.13	   -0.31	    0.41	   -0.18	  231.94	 1011.47	   19.54	   1.204	   541.8	   30.00	2.557E+5	   0.087
      16	  10.000	   0.000	  0.9356	0.092521	 0.00440	 0.27082	-0.071346	  0.9374	0.004395	-0.00157	 0.03646	-0.00084	0.092521	-0.004395	0.935583	-0.00241	 0.02141	-0.00058	   12.39	   -0.55	  118.02	   -0.42	    0.65	   -0.10	  231.86	 1011.46	   19.54	   1.204	   541.6	   30.00	2.556E+5	   0.087
      17	  11.000	   0.000	  0.9693	0.104770	 0.00390	 0.29049	-0.082100	  0.9715	0.003900	-0.00163	 0.04762	-0.00093	0.104770	-0.003900	0.969277	-0.00241	 0.03058	-0.00063	   13.90	   -0.49	  122.32	   -0.42	    0.84	   -0.11	  231.98	 1011.43	   19.54	   1.204	   541.9	   30.01	2.557E+5	   0.087
      18	  12.000	   0.000	  1.0135	0.118535	 0.00417	 0.30996	-0.094774	  1.0160	0.004169	-0.00112	 0.05596	-0.00121	0.118535	-0.004169	1.013502	-0.00204	 0.03668	-0.00100	   15.58	   -0.52	  127.85	   -0.36	    0.97	   -0.18	  231.92	 1011.46	   19.55	   1.204	   541.8	   30.00	2.556E+5	   0.087
      19	  13.000	   0.000	  1.0565	0.131174	 0.00448	 0.33050	-0.109841	  1.0589	0.004483	-0.00064	 0.06578	-0.00154	0.131174	-0.004483	1.056465	-0.00172	 0.04444	-0.00144	   17.20	   -0.56	  133.16	   -0.30	    1.17	   -0.25	  231.95	 1011.44	   19.56	   1.204	   541.9	   30.00	2.556E+5	   0.087
      20	  14.000	   0.000	  1.0744	0.154478	 0.00976	 0.33630	-0.110027	  1.0798	0.009764	 0.00266	 0.06634	-0.00258	0.154478	-0.009764	1.074379	 0.00033	 0.04121	-0.00332	   20.13	   -1.22	  135.18	    0.06	    1.14	   -0.58	  231.74	 1011.47	   19.56	   1.204	   541.4	   29.99	2.555E+5	   0.087
      21	  -4.998	   0.000	 -0.1474	0.041074	 0.00549	-0.24460	0.028077	 -0.1504	0.005490	-0.00046	-0.20700	-0.00060	0.041074	-0.005490	-0.147395	-0.00130	-0.21368	-0.00064	    2.85	   -0.31	   -7.83	   -0.10	   -1.77	   -0.05	  103.15	 1011.47	   19.48	   1.204	   240.6	   19.99	1.704E+5	   0.058
      22	  -4.000	   0.000	 -0.0649	0.039147	 0.00601	-0.20759	0.034527	 -0.0674	0.006011	-0.00145	-0.19074	-0.00046	0.039147	-0.006011	-0.064861	-0.00239	-0.19710	-0.00056	    2.74	   -0.33	   -3.24	   -0.19	   -1.63	   -0.04	  103.31	 1011.44	   19.46	   1.204	   241.0	   20.01	1.706E+5	   0.058
