  Run_nr	   Alpha	    Beta	      CL	      CD	    Cyaw	 Cm_p_qc	      Ct	      Cn	   Cside	 Cm_roll	Cm_pitch	  Cm_yaw	      Cx	      Cy	      Cz	    Cm_x	    Cm_y	    Cm_z	      Fx	      Fy	      Fz	      Mx	      My	      Mz	     DPb	    Pbar	       T	     Rho	       Q	       V	      Re	       M
       /	 degrees	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       /	       N	       N	       N	      Nm	      Nm	      Nm	      Pa	      Pa	 degr. C	  kg/m^3	      Pa	     m/s	       /	       /
      32	   0.000	   0.000	  0.1801	0.019147	 0.01632	-0.02341	0.019146	  0.1801	0.016324	 0.00170	-0.06843	 0.00183	0.019147	-0.016324	0.180084	-0.00095	-0.07155	 0.00183	    3.47	   -2.03	   23.44	   -0.17	   -1.14	    0.32	  229.98	 1008.79	   21.38	   1.193	   537.2	   30.01	2.522E+5	   0.087
      33	   0.000	   1.000	  0.1797	0.018245	 0.02090	-0.02181	0.017877	  0.1797	0.021212	 0.00117	-0.06675	-0.00065	0.017878	-0.021212	0.179736	-0.00229	-0.06966	-0.00065	    3.31	   -2.63	   23.37	   -0.40	   -1.10	   -0.11	  229.73	 1008.81	   21.38	   1.193	   536.7	   29.99	2.521E+5	   0.087
      34	   0.000	   1.995	  0.1809	0.019109	 0.02831	-0.02102	0.018110	  0.1809	0.028961	 0.00065	-0.06624	-0.00381	0.018111	-0.028961	0.180882	-0.00406	-0.06919	-0.00381	    3.34	   -3.59	   23.52	   -0.70	   -1.09	   -0.66	  229.73	 1008.79	   21.34	   1.193	   536.7	   29.99	2.521E+5	   0.087
      35	   0.000	   3.005	  0.1812	0.019469	 0.04161	-0.01915	0.017260	  0.1812	0.042569	 0.00040	-0.06444	-0.00667	0.017261	-0.042569	0.181165	-0.00653	-0.06725	-0.00667	    3.23	   -5.27	   23.54	   -1.13	   -1.05	   -1.16	  229.61	 1008.77	   21.33	   1.193	   536.4	   29.98	2.521E+5	   0.087
      36	   0.000	   4.000	  0.1781	0.020427	 0.05768	-0.01891	0.016353	  0.1781	0.058961	-0.00069	-0.06343	-0.01024	0.016354	-0.058961	0.178096	-0.01028	-0.06609	-0.01024	    3.12	   -7.30	   23.15	   -1.78	   -1.03	   -1.78	  229.48	 1008.78	   21.32	   1.193	   536.1	   29.97	2.520E+5	   0.087
      37	   0.000	   5.005	  0.1792	0.021562	 0.07352	-0.01765	0.015064	  0.1792	0.075118	-0.00085	-0.06246	-0.01297	0.015066	-0.075118	0.179237	-0.01307	-0.06491	-0.01297	    2.97	   -9.32	   23.33	   -2.27	   -1.01	   -2.25	  229.91	 1008.77	   21.32	   1.193	   537.1	   30.00	2.522E+5	   0.087
      38	   0.000	   5.995	  0.1888	0.021895	 0.09044	-0.00839	0.012328	  0.1888	0.092233	-0.00195	-0.05559	-0.01631	0.012329	-0.092233	0.188802	-0.01696	-0.05759	-0.01631	    2.63	  -11.44	   24.52	   -2.95	   -0.86	   -2.83	  229.91	 1008.73	   21.28	   1.194	   537.1	   30.00	2.523E+5	   0.087
      39	   0.000	   7.000	  0.1920	0.023285	 0.10585	-0.00439	0.010210	  0.1920	0.107899	-0.00206	-0.05239	-0.01870	0.010211	-0.107899	0.192027	-0.01962	-0.05406	-0.01870	    2.36	  -13.39	   24.92	   -3.41	   -0.78	   -3.25	  229.91	 1008.74	   21.26	   1.194	   537.1	   30.00	2.523E+5	   0.087
      40	   0.000	   8.000	  0.1936	0.024974	 0.12137	-0.00105	0.007838	  0.1936	0.123666	-0.00225	-0.04945	-0.02097	0.007839	-0.123666	0.193564	-0.02237	-0.05072	-0.02097	    2.07	  -15.34	   25.10	   -3.88	   -0.72	   -3.64	  229.81	 1008.75	   21.26	   1.194	   536.8	   29.99	2.522E+5	   0.087
      41	   0.000	   8.995	  0.1959	0.027271	 0.13535	 0.00265	0.005773	  0.1959	0.137951	-0.00190	-0.04633	-0.02265	0.005774	-0.137951	0.195906	-0.02434	-0.04727	-0.02265	    1.81	  -17.10	   25.38	   -4.22	   -0.65	   -3.93	  229.74	 1008.77	   21.24	   1.194	   536.7	   29.99	2.522E+5	   0.087
      42	   0.000	  10.000	  0.1975	0.029977	 0.14762	 0.00395	0.003886	  0.1975	0.150587	-0.00126	-0.04543	-0.02374	0.003887	-0.150587	0.197532	-0.02576	-0.04607	-0.02374	    1.58	  -18.68	   25.60	   -4.47	   -0.62	   -4.12	  229.94	 1008.75	   21.24	   1.194	   537.1	   30.00	2.523E+5	   0.087
