config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw
tailOff_beta0_balance,NaN,NaN,17,11,0,30.0053456809391,329042.581335217,0,Inf,1.03538255547482,0.119537489329056,-0.0793874272119841,0.0034385235246042
tailOff_beta0_balance,NaN,NaN,18,12,0,30.001518531043,328990.431682462,0,Inf,1.08156595485098,0.134404941345117,-0.094468504732767,0.00328067042386286
tailOff_beta0_balance,NaN,NaN,19,13,0,30.0042751291307,328994.215536941,0,Inf,1.12619521689678,0.147980251093487,-0.10720455575366,0.00364651069069864
tailOff_beta0_balance,NaN,NaN,20,14,0,29.9901953934447,328849.586097592,0,Inf,1.14510902574138,0.173109488158277,-0.141686592227626,0.00934747299156219
tailOff_beta0_balance,NaN,NaN,21,-4.998,0,19.9921040564378,219324.471497649,0,Inf,NaN,NaN,NaN,NaN
tailOff_beta0_balance,NaN,NaN,22,-4,0,20.0072148541861,219510.348156053,0,Inf,-0.0577480458069706,0.0493685882243257,-0.210559471602761,0.00804882223221338
tailOff_beta0_balance,NaN,NaN,23,-3,0,20.0017884403309,219475.252876491,0,Inf,0.0324995043262111,0.0486456514198932,-0.17784377275874,0.00861847051951858
tailOff_beta0_balance,NaN,NaN,24,-2,0,19.9981994261192,219462.48251218,0,Inf,0.121281749496193,0.0491019671827156,-0.151596346498199,0.0103011952113475
tailOff_beta0_balance,NaN,NaN,25,-1,0,20.0005200433615,219512.398330736,0,Inf,0.211485408131679,0.050328193386858,-0.130418430611439,0.010929546064878
tailOff_beta0_balance,NaN,NaN,26,-0,0,20.0013442915037,219530.415718685,0,Inf,0.303712353212333,0.0521661484553531,-0.108490314568753,0.0109735211870395
tailOff_beta0_balance,NaN,NaN,27,1,0,19.9950814115856,219510.287716389,0,Inf,0.393129830107646,0.0544878632327871,-0.0924993925909702,0.0103195243549191
tailOff_beta0_balance,NaN,NaN,28,2,0,19.9995360652916,219579.312952745,0,Inf,0.483372977563787,0.0576423534982562,-0.0840575215388184,0.00926211362224547
tailOff_beta0_balance,NaN,NaN,29,3,0,20.004277714485,219633.54410046,0,Inf,0.570880326750061,0.0613660859924954,-0.0821737174814687,0.00937447363831105
tailOff_beta0_balance,NaN,NaN,30,4,0,20.0005990862128,219633.411114797,0,Inf,0.659170574640878,0.0657104801689023,-0.0835872754643485,0.00849372554133281
