config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,CMroll,CMyaw,matchSourceRow,matchSameVnom,dAoA_match,dAoS_match,dV_match,matchScore,AoA_on,AoS_on,V_on,Re_on,rpsM2_on,J_on
dem5dr0,-5,0,37,-0.006,0,19.9925495407863,NaN,NaN,NaN,0.177051199386714,0.060927954404316,0.118149045606834,0.00961793128523497,-0.00491173910508275,-0.00240318648520925,132,1,-0.002,0,0.012925810804699,0.00386261480342953,-0.004,0,19.9796237299816,228250.023194353,61.51,1.59851926403856
dem5dr0,-5,0,38,-5.002,0,19.994071248447,NaN,NaN,NaN,-0.38178484742051,0.0711366360661571,0.306216742418465,0.00999941090193291,-0.00689652074647755,-0.00130595801922786,131,1,-1.006,0,0.0104943733931506,1.00748218788826,-3.996,0,19.9835768750538,228366.591451916,61.5,1.59909551845703
dem5dr0,-5,0,39,8,0,19.9907742063296,NaN,NaN,NaN,0.972333797317949,0.0968936325392517,-0.166459715528388,0.00864908656461099,-0.00355663637887119,-0.00289086369568536,137,1,0.00399999999999956,0,0.0163608113840077,0.00630644841758787,7.996,0,19.9744133949456,228316.106985703,61.5,1.59836225233225
dem5dr0,-5,0,40,8,0,19.9907742063296,NaN,NaN,NaN,0.972333797317949,0.0968936325392517,-0.166459715528388,0.00864908656461099,-0.00355663637887119,-0.00289086369568536,137,1,0.00399999999999956,0,-0.0366436961594765,0.00630644841758787,7.996,0,20.0274179024891,229007.926132031,51.8,1.9027051635691
dem5dr0,-5,0,41,0.005,0,19.997796887187,NaN,NaN,NaN,0.178846116166884,0.0616531651916086,0.121245408542033,0.00988076733486493,-0.00544469702885955,-0.002446156829738,144,1,0.001,0,-0.00953134041080972,0.00155077820324989,0.004,0,20.0073282275978,228815.973403408,51.8,1.9007965436793
dem5dr0,-5,0,42,-5.002,0,19.994071248447,NaN,NaN,NaN,-0.38178484742051,0.0711366360661571,0.306216742418465,0.00999941090193291,-0.00689652074647755,-0.00130595801922786,131,1,-1.002,0,-0.0283471588835162,1.00348218788826,-4,0,20.0224184073305,228990.838735026,51.8,1.90223018645024
dem5dr0,-5,0,43,-5.002,0,19.994071248447,NaN,NaN,NaN,-0.38178484742051,0.0711366360661571,0.306216742418465,0.00999941090193291,-0.00689652074647755,-0.00130595801922786,131,1,-1.002,0,0.000342966549226276,1.00348218788826,-4,0,19.9937282818977,228667.280907971,44.7,2.20121548313095
dem5dr0,-5,0,44,-0.006,0,19.9925495407863,NaN,NaN,NaN,0.177051199386714,0.060927954404316,0.118149045606834,0.00961793128523497,-0.00491173910508275,-0.00240318648520925,132,1,-0.002,0,0.0125815183607614,0.00386261480342953,-0.004,0,19.9799680224255,228526.486530986,44.7,2.19970054325705
dem5dr0,-5,0,45,8,0,19.9907742063296,NaN,NaN,NaN,0.972333797317949,0.0968936325392517,-0.166459715528388,0.00864908656461099,-0.00355663637887119,-0.00289086369568536,137,1,0,0,-0.00340097078613155,0.00230644841758831,8,0,19.9941751771158,228724.457775287,44.7,2.20126468419337
dem5dr0,-5,0,46,8,0,39.9889396408777,NaN,NaN,NaN,0.97763383763691,0.0898023725279907,-0.179722427376952,0.00795738858600748,-0.003364989751033,-0.00277401579346631,169,1,0,0,0.0255074827376589,0.00276508978056711,8,0,39.9634321581401,456264.609225663,89.47,2.19817183244791
dem5dr0,-5,0,47,-5.001,0,39.9832044648934,NaN,NaN,NaN,-0.389990464521786,0.0655175744670642,0.315102819642256,0.00897369895872261,-0.00611204722099045,-0.0018616745004941,163,1,-1.005,0,-0.0222530617876018,1.00919888377665,-3.996,0,40.005457526681,456021.248121394,89.47,2.20048342022669
dem5dr0,-5,0,48,-0.006,0,39.9995515779166,NaN,NaN,NaN,0.187464082259705,0.0542607621680163,0.123604896026007,0.010575681972671,-0.00519783001000672,-0.00277516125473274,164,1,-0.002,0,-0.0398786982905222,0.00211210552083973,-0.004,0,40.0394302762072,456147.552623453,89.46,2.20259825995602
