config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,eps_total,eps_sb,eps_wb0
de0dr0,0,0,11,0.004,0,40.413923808127095,457211.15317335,89.48,2.20212325723556,0.2397173054948011,0.03963338392663113,-0.0251541181612064,0.0075498299119205,0.009345185187257792,0.00815639608252413,0.0014721333333333332
de0dr0,0,0,12,-4.0,0,40.40944692645862,456778.803663259,89.48,2.20187990629865,-0.22311523391921279,0.04406647285668497,0.13180802780402,0.0055708491774107,0.009344914335565712,0.00815639608252413,0.0014721333333333332
de0dr0,0,0,13,-4.0,0,40.37506488159046,456235.1006671,103.6,1.90090174318672,-0.22599498425356068,0.013796990413017659,0.135852686890398,0.0093093401065552,0.008951070069442894,0.00815639608252413,0.0014721333333333332
de0dr0,0,0,14,0.004,0,38.815843241681144,472868.554528238,103.6,1.82770140160052,0.2377079512356243,0.009534708923596178,-0.0184223598166567,0.009034306601648,0.008835418980584464,0.00815639608252413,0.0014721333333333332
de0dr0,0,0,15,7.996,0,40.40191975590792,456095.26421022,103.6,1.90216248450844,1.0337740801359643,0.05042545095821095,-0.334958446203273,0.0007977312946413,0.008952987665897095,0.00815639608252413,0.0014721333333333332
de0dr0,0,0,16,7.996,0,40.36508437623851,456009.478767575,123.0,1.60153325619785,1.0494241428768227,0.0030746786337253256,-0.357428852396794,-0.0054713471142445,0.008419159018564158,0.00815639608252413,0.0014721333333333332
de0dr0,0,0,17,-3.996,0,40.31373721764149,455052.67487677,123.0,1.59950262807534,-0.2320914579685708,-0.03464571129153639,0.144036511988735,0.0145240527570896,0.008414977737629264,0.00815639608252413,0.0014721333333333332
de0dr0,0,0,18,-0.004,0,40.364735684484984,455341.17141666,123.01,1.60138969617106,0.23606633741347757,-0.039809003740661875,-0.0180812043095898,0.010373570200517,0.008418863692355835,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,19,-0.004,0,40.326679877729454,455303.983412896,123.0,1.60001447228262,0.27982591006022745,-0.03841916279127975,-0.160645820593797,0.0079572738974618,0.008416032481466627,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,20,8.0,0,40.33298972290911,455397.72315873,123.0,1.60026400805709,1.0911330411719307,0.009113828174344201,-0.501990753545376,-0.0056076875050851,0.008416546497211913,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,21,-3.996,0,40.30176582671276,454814.622006505,123.0,1.59902919452261,-0.18539189772950274,-0.03581241045766014,-0.0047464844821862,0.0129823825644476,0.008414001664113997,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,22,-3.996,0,40.4096591525543,455284.512822311,89.5,2.20140059153176,-0.183900912085078,0.044006373380100765,0.0071049766161065,0.0028843759236081,0.009344380648421389,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,23,7.996,0,40.419223521284906,455477.365431238,89.51,2.20167496676232,1.0607812478397547,0.08599777673899553,-0.450101772334613,0.0026091206161977,0.00934468618154671,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,24,0.004,0,40.328674064717895,454383.483103226,89.51,2.19675460299492,0.27260283200939955,0.0418867468502799,-0.13618809598018,0.0044831788857946,0.00933919346863654,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,25,0.004,0,40.11793203226167,458560.390678766,103.6,1.88883025717605,0.27631708169088076,0.012061924205142838,-0.146200160129429,0.0059521992999707,0.008932584269344325,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,26,-4.0,0,40.32215202706794,454061.547130084,103.6,1.89841767143326,-0.18586724387839432,0.013564126430605788,0.0035502993924834,0.0064565377413353,0.008947284575562073,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,27,7.996,0,40.377560441014474,454782.374785747,103.6,1.90101890087764,1.0730163665509043,0.056395819338761824,-0.470247969191881,0.0001108449630889,0.00895124837078224,0.00815639608252413,0.0014721333333333332
de5dr0,5,0,28,7.996,0,20.195219288239446,228091.772430064,51.8,1.9012531541898,1.0583347030384187,0.07653201730707705,-0.469828751581297,0.0011251763799363,0.009148693704176142,0.00815639608252413,0.0016692222222222221
de5dr0,5,0,29,0.004,0,20.194147272346317,228203.419999191,51.8,1.90115251908283,0.2613395857229494,0.031224884813251398,-0.150015692227509,0.0094234481829232,0.00914854058619937,0.00815639608252413,0.0016692222222222221
