config,de,dr,run,AoA,AoS,V,Re,rpsM2,J,CL,CD,CM25c,CYaw,eps_total,eps_sb,eps_wb0,C_T
dem5dr0,-5,0,37,0.186495731148568,0,20.1516490638325,228250.023194353,61.51,1.59851926403856,0.179185260550012,-0.0206806763637335,0.11169388792744,0.0146386129632491,0.0086100387162339,0.0081563960825241,0.0016692222222222,0.20932042501677
dem5dr0,-5,0,38,-4.03222097057313,0,20.1556599981979,228366.591451916,61.5,1.59909551845703,-0.2784244538905,-0.0121076496538839,0.277721890580375,0.0121435863960995,0.0086112273203165,0.0081563960825241,0.0016692222222222,0.210852665443502
dem5dr0,-5,0,39,8.59718057275319,0,20.1463873963554,228316.106985703,61.5,1.59836225233225,0.99563906722521,0.0287788012929643,-0.219313081844768,0.0022873843528413,0.0086097147390248,0.0081563960825241,0.0016692222222222,0.186897177701776
dem5dr0,-5,0,40,8.59718057275319,0,20.2106868253388,229007.926132031,51.8,1.9027051635691,0.982398916837411,0.0758849955608311,-0.206529485048289,0.0029335663526076,0.0091509012166229,0.0081563960825241,0.0016692222222222,0.086286871787456
dem5dr0,-5,0,41,0.194495731148568,0,20.1903552429743,228815.973403408,51.8,1.9007965436793,0.184543943415531,0.0303730200002983,0.0995013202982471,0.0099364595390366,0.0091479988379484,0.0081563960825241,0.0016692222222222,0.100931893231195
dem5dr0,-5,0,42,-4.03622097057313,0,20.2056271289879,228990.838735026,51.8,1.90223018645024,-0.26868141341725,0.0352542933898789,0.259520908870613,0.0077452623196545,0.0091501794603552,0.0081563960825241,0.0016692222222222,0.12217243270603
dem5dr0,-5,0,43,-4.03622097057313,0,20.1844937089353,228667.280907971,44.7,2.20121548313095,-0.262301978737025,0.0593607956765666,0.251800643384706,0.0046622843691186,0.0095412633575858,0.0081563960825241,0.0016692222222222,0.0428743797763999
dem5dr0,-5,0,44,0.186495731148568,0,20.1705684146432,228526.486530986,44.7,2.19970054325705,0.185322540644647,0.052849426666661,0.101098877040458,0.0078103295273571,0.0095395744379448,0.0081563960825241,0.0016692222222222,0.0349473193555226
dem5dr0,-5,0,45,8.60118057275318,0,20.1849459638933,228724.457775287,44.7,2.20126468419337,0.976468783173681,0.100657673097491,-0.202314144540279,0.0044129670563497,0.0095413181632928,0.0081563960825241,0.0016692222222222,0.024590822889698
dem5dr0,-5,0,46,8.5968289478382,0,40.3367217263973,456264.609225663,89.47,2.19817183244791,0.992674440387098,0.0862419771951828,-0.219600156325825,0.0022820062562451,0.0093407785092143,0.0081563960825241,0.0014721333333333,0.0694020206748304
dem5dr0,-5,0,47,-4.04849379064255,0,40.3792428652868,456021.248121394,89.47,2.20048342022669,-0.264576247144616,0.0468183581370913,0.259945614781088,0.0047070580335557,0.0093433586744142,0.0081563960825241,0.0014721333333333,0.104991670196421
dem5dr0,-5,0,48,0.183429686911376,0,40.4136273269523,456147.552623453,89.46,2.20259825995602,0.196010352816379,0.0409186654502833,0.102296571329832,0.0062265735329635,0.0093457136668457,0.0081563960825241,0.0014721333333333,0.0850745889819067
dem5dr0,-5,0,49,0.183429686911376,0,40.3992741504716,455944.501314117,103.6,1.90203828270178,0.195017809033719,0.0107030901638189,0.106855167008241,0.0090357289721248,0.0089527988632582,0.0081563960825241,0.0014721333333333,0.174549033781306
dem5dr0,-5,0,50,8.5968289478382,0,40.3347875539924,455129.034172062,103.6,1.89901086488045,1.00197765790323,0.0561452882259009,-0.229085001721493,0.0010199433546141,0.0089481894164714,0.0081563960825241,0.0014721333333333,0.165996026977469
dem5dr0,-5,0,51,-4.04849379064255,0,40.3545498198557,455299.110332788,103.6,1.89993863352512,-0.270609237959546,0.0167460064695692,0.269824667003929,0.0091566109580432,0.0089496035151197,0.0081563960825241,0.0014721333333333,0.18989575462502
dem5dr0,-5,0,52,-4.04849379064255,0,40.3758214257918,455483.986899318,123.01,1.60182806839738,-0.276194742864207,-0.0316983846764519,0.284710037562938,0.0164903469804687,0.0084197653618465,0.0081563960825241,0.0014721333333333,0.26183060775998
dem5dr0,-5,0,53,8.5928289478382,0,40.2970823272239,454579.21265749,123,1.59884397574492,1.01520836503189,0.00830185584331643,-0.243445696845501,-0.0037968458270749,0.0084136196743202,0.0081563960825241,0.0014721333333333,0.245623175973996
dem5dr0,-5,0,54,0.191429686911376,0,40.3398623285135,455040.928435429,123,1.60053579928996,0.197184829624187,-0.0382029157774656,0.111259299401447,0.0131796737671535,0.0084171062105617,0.0081563960825241,0.0014721333333333,0.256537580338583
de0dr0_extra,0,0,58,10.6166988464931,0,40.3382822319979,455819.859092809,123,1.60047331114959,1.17116461103048,0.0380373063437015,-0.496977274792679,-0.0085989109178371,0.0084169775390808,0.0081563960825241,0.0014721333333333,0.273613860783152
de0dr0_extra,0,0,59,14.7278300022602,0,40.3225283632742,455495.699846306,123,1.59985029209773,1.3980718333524,0.123056412805419,-0.765046239157559,-0.0135885885420066,0.0084156942185995,0.0081563960825241,0.0014721333333333,0.278217908153323
de0dr0_extra,0,0,60,12.6774919387515,0,40.3664243369566,455861.32816599,123,1.6015862476331,1.2801498194543,0.077914894601853,-0.646740942955386,-0.0107071217596932,0.0084192680197928,0.0081563960825241,0.0014721333333333,0.273435409276665
